id,category,data,name
86,Bot,Product_TA ProductsDB.Products.Bot_Fossil,Sabretooth
87,Bot,Product_TA ProductsDB.Products.Bot_Fury,Fury
88,Bot,Product_TA ProductsDB.Products.Bot_Hawk,Bandit
89,Bot,Product_TA ProductsDB.Products.Bot_Hunter,Merlin
90,Bot,Product_TA ProductsDB.Products.Bot_Imp,Imp
91,Bot,Product_TA ProductsDB.Products.Bot_Jet,Casper
92,Bot,Product_TA ProductsDB.Products.Bot_JM,Marley
93,Bot,Product_TA ProductsDB.Products.Bot_Kidd,Poncho
94,Bot,Product_TA ProductsDB.Products.Bot_Laser,Hound
95,Bot,Product_TA ProductsDB.Products.Bot_Lightning,Boomer
96,Bot,Product_TA ProductsDB.Products.Bot_Lucky,Hollywood
97,Bot,Product_TA ProductsDB.Products.Bot_Middy,Middy
98,Bot,Product_TA ProductsDB.Products.Bot_Mountain,Mountain
99,Bot,Product_TA ProductsDB.Products.Bot_Nitro,Goose
100,Bot,Product_TA ProductsDB.Products.Bot_Outlaw,Outlaw
101,Bot,Product_TA ProductsDB.Products.Bot_Phoenix,Sundown
102,Bot,Product_TA ProductsDB.Products.Bot_Raja,Raja
103,Bot,Product_TA ProductsDB.Products.Bot_Razor,Rainmaker
104,Bot,Product_TA ProductsDB.Products.Bot_Retro,Chipper
105,Bot,Product_TA ProductsDB.Products.Bot_Roundhouse,Roundhouse
106,Bot,Product_TA ProductsDB.Products.Bot_Sabre,Scout
107,Bot,Product_TA ProductsDB.Products.Bot_Samson,Shepard
108,Bot,Product_TA ProductsDB.Products.Bot_Savage,Khan
109,Bot,Product_TA ProductsDB.Products.Bot_Shadow,Tex
110,Bot,Product_TA ProductsDB.Products.Bot_Shield,Sultan
111,Bot,Product_TA ProductsDB.Products.Bot_Siren,Storm
112,Bot,Product_TA ProductsDB.Products.Bot_Sky,Myrtle
113,Bot,Product_TA ProductsDB.Products.Bot_Squall,Squall
114,Bot,Product_TA ProductsDB.Products.Bot_Tank,Iceman
115,Bot,Product_TA ProductsDB.Products.Bot_Thunder,Sticks
116,Bot,Product_TA ProductsDB.Products.Bot_Titan,Armstrong
117,Bot,Product_TA ProductsDB.Products.Bot_Turbo,Samara
118,Bot,Product_TA ProductsDB.Products.Bot_Tusk,Tusk
119,Bot,Product_TA ProductsDB.Products.Bot_Viper,Viper
120,Bot,Product_TA ProductsDB.Products.Bot_Warrior,Saltie
121,Bot,Product_TA ProductsDB.Products.Bot_Wolf,Junker
122,Bot,Product_TA ProductsDB.Products.Bot_Yuri,Yuri
123,Bot,Product_TA ProductsDB.Products.Bot_Zap,Foamer
1470,Hat,Product_TA ProductsDB.Products.Hat_BlackMarketPreview,Black Market Preview
3942,Hat,Product_TA ProductsDB.Products.pack_bb_hats,Major League Baseball
5752,Skin,Product_TA ProductsDB.Products.pack_nflskins,NFL Fan Pack
1009,Blueprint,Product_TA ProductsDB.Products.ItemContainer_Default,Champion 1
1429,Blueprint,Product_TA ProductsDB.Products.ItemContainer_2_Default,Champion 2
1523,Blueprint,Product_TA ProductsDB.Products.Crate_Series4,Champion 3
1553,Blueprint,Product_TA ProductsDB.Products.Crate_Series5,Champion 4
1631,Blueprint,Product_TA ProductsDB.Products.Crate_Champion5,Turbo
1632,Blueprint,Product_TA ProductsDB.Products.Crate_ImportSkins,Player's Choice
1843,Blueprint,Product_TA ProductsDB.Products.Crate_Number7,Nitro
1872,Blueprint,Product_TA ProductsDB.Products.crate_number8,Overdrive
2444,Blueprint,Product_TA ProductsDB.Products.crate_Halloween17,Haunted Hallows
2486,Blueprint,Product_TA ProductsDB.Products.crate_number10,Velocity
2487,Blueprint,Product_TA ProductsDB.Products.crate_number9,Accelerator
2521,Blueprint,Product_TA ProductsDB.Products.crate_Winter17,Secret Santa
2697,Blueprint,Product_TA ProductsDB.Products.Crate_number11,Victory
2730,Blueprint,Product_TA ProductsDB.Products.Crate_Spring18,Spring Fever
2897,Blueprint,Product_TA ProductsDB.Products.crate_Number12,Triumph
3009,Blueprint,Product_TA ProductsDB.Products.Crate_Number13,Impact
3010,Blueprint,Product_TA ProductsDB.Products.Crate_Summer18,RL Beach Blast
3262,Blueprint,Product_TA ProductsDB.Products.Crate_Number14,Zephyr
3457,Blueprint,Product_TA ProductsDB.Products.Crate_Number15,Elevation
3458,Blueprint,Product_TA ProductsDB.Products.Crate_Number16,Ferocity
4263,Blueprint,Product_TA ProductsDB.Products.crate_number17,Totally Awesome
4460,Blueprint,Product_TA ProductsDB.Products.crate_number18,Vindicator
4735,Blueprint,Product_TA ProductsDB.Products.BP_Series1,Revival
4953,Blueprint,Product_TA ProductsDB.Products.BP_Series2,Ignition
5144,Blueprint,Product_TA ProductsDB.Products.BP_Series3,Momentum
5610,Blueprint,Product_TA ProductsDB.Products.BP_Series4,Season 1
5765,Blueprint,Product_TA ProductsDB.Products.BP_Series5,Season 2
1353,PremiumInventory,Product_TA ProductsDB.Products.Key,Key
2445,PremiumInventory,Product_TA ProductsDB.Products.crateUnlocked_Halloween17,Crate - Haunted Hallows (Unlocked)
2446,PremiumInventory,Product_TA ProductsDB.Products.key_magic,Decryptor
2522,PremiumInventory,Product_TA ProductsDB.Products.crateUnlocked_Winter17,Crate - Secret Santa (Unlocked)
2731,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_Spring18,Crate - Spring Fever (Unlocked)
3011,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_Summer18,Crate - RL Beach Blast (Unlocked)
3049,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_Anniversary18,Golden Egg '18
3468,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_Halloween18,Golden Pumpkin '18
3646,PremiumInventory,Product_TA ProductsDB.Products.crateUnlocked_Winter18,Golden Gift '18
3849,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_ChineseNewYear19,Golden Lantern '19
4049,PremiumInventory,Product_TA ProductsDB.Products.RocketPass_Premium,Premium
4299,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_RadSummer19,Golden Egg '19
4592,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_Winter19,Golden Gift '19
4593,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_Halloween19,Golden Pumpkin '19
4722,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_DecryptorGift,Bonus Gift
5085,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_Tournament1,Prospects Cup
5086,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_Tournament2,Challengers Cup
5087,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_Tournament3,All-Stars Cup
5088,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_Tournament4,Champions Cup
5297,PremiumInventory,Product_TA ProductsDB.Products.crateunlocked_anniversary20,Golden Egg '20
5298,PremiumInventory,Product_TA ProductsDB.Products.Giftbox_BlackMarket,Black Market Drop
5299,PremiumInventory,Product_TA ProductsDB.Products.Giftbox_Exotic,Exotic Drop
5300,PremiumInventory,Product_TA ProductsDB.Products.Giftbox_Import,Import Drop
5301,PremiumInventory,Product_TA ProductsDB.Products.Giftbox_Rare,Rare Drop
5302,PremiumInventory,Product_TA ProductsDB.Products.Giftbox_Uncommon,Uncommon Drop
5303,PremiumInventory,Product_TA ProductsDB.Products.Giftbox_VeryRare,Very Rare Drop
5611,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_Halloween20,Golden Pumpkin '20
5660,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_Winter20,Golden Gift '20
5764,PremiumInventory,Product_TA ProductsDB.Products.CrateUnlocked_ChineseNewYear21,Golden Lantern '21
5895,PremiumInventory,Product_TA ProductsDB.Products.crateunlocked_AT1,Accolade
2223,Logo,Product_TA ProductsDB.Products.Logo_Barracudas,Barracudas
2224,Logo,Product_TA ProductsDB.Products.Logo_Guardians,Guardians
2225,Logo,Product_TA ProductsDB.Products.Logo_Cyclones,Cyclones
2226,Logo,Product_TA ProductsDB.Products.Logo_Dragons,Dragons
2227,Logo,Product_TA ProductsDB.Products.Logo_Monarchs,Monarchs
2228,Logo,Product_TA ProductsDB.Products.Logo_Pioneers,Seekers
2229,Logo,Product_TA ProductsDB.Products.Logo_Express,Express
2230,Logo,Product_TA ProductsDB.Products.Logo_Rovers,Rovers
2231,Logo,Product_TA ProductsDB.Products.Logo_Rebels,Rebels
2232,Logo,Product_TA ProductsDB.Products.Logo_Blacklight,Blacklight
2233,Logo,Product_TA ProductsDB.Products.Logo_Pharaohs,Pharaohs
2234,Logo,Product_TA ProductsDB.Products.Logo_Mammoths,Mammoths
2235,Logo,Product_TA ProductsDB.Products.Logo_Wolves,Wolves
2236,Logo,Product_TA ProductsDB.Products.Logo_Kodiaks,Kodiaks
2237,Logo,Product_TA ProductsDB.Products.Logo_Bombers,Bombers
2238,Logo,Product_TA ProductsDB.Products.Logo_Destroyers,Destroyers
2239,Logo,Product_TA ProductsDB.Products.Logo_Knights,Knights
2240,Logo,Product_TA ProductsDB.Products.Logo_Phantoms,Phantoms
2241,Logo,Product_TA ProductsDB.Products.Logo_Ravagers,Ravagers
2242,Logo,Product_TA ProductsDB.Products.Logo_Scorpions,Scorpions
2243,Logo,Product_TA ProductsDB.Products.Logo_Skyhawks,Skyhawks
3036,PlayerTitle,Product_TA ProductsDB.Products.title_generic,Title
3082,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_CherryBlossomTree,Tranquility
3085,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_Default,Default
3110,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_cutecritter,Cutesy Critter
3176,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_flames,Flame
3177,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_OctaneTech,Free Ride
3178,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_Wispy,Twinkle Box
3240,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier1,XP Level 25
3241,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier10,XP Level 250
3242,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier11,XP Level 275
3243,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier2,XP Level 50
3244,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier3,XP Level 75
3245,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier4,XP Level 100
3246,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier5,XP Level 125
3247,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier6,XP Level 150
3248,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier7,XP Level 175
3249,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier8,XP Level 200
3250,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier9,XP Level 225
3266,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier10Cobalt,XP Level 750
3267,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier10Gold,XP Level 1300
3268,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier10Onyx,XP Level 1850
3269,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier11Cobalt,XP Level 800
3270,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier11Gold,XP Level 1350
3271,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier11Onyx,XP Level 1900
3272,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier1Cobalt,XP Level 300
3273,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier1Gold,XP Level 850
3274,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier1Onyx,XP Level 1400
3275,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier2Cobalt,XP Level 350
3276,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier2Gold,XP Level 900
3277,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier2Onyx,XP Level 1450
3278,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier3Cobalt,XP Level 400
3279,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier3Gold,XP Level 950
3280,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier3Onyx,XP Level 1500
3281,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier4Cobalt,XP Level 450
3282,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier4Gold,XP Level 1000
3283,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier4Onyx,XP Level 1550
3284,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier5Cobalt,XP Level 500
3285,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier5Gold,XP Level 1050
3286,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier5Onyx,XP Level 1600
3287,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier6Cobalt,XP Level 550
3288,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier6Gold,XP Level 1100
3289,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier6Onyx,XP Level 1650
3290,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier7Cobalt,XP Level 600
3291,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier7Gold,XP Level 1150
3292,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier7Onyx,XP Level 1700
3293,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier8Cobalt,XP Level 650
3294,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier8Gold,XP Level 1200
3295,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier8Onyx,XP Level 1750
3296,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier9Cobalt,XP Level 700
3297,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier9Gold,XP Level 1250
3298,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_XPTier9Onyx,XP Level 1800
3344,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_colorful,Phantastic
3349,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_lightning,Jolted
3350,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_paladin,Paladin
3814,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_Christmas2018,Happy Holidays
3816,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_snowman,Snowman
3863,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_chinamapdragon,Shen
3864,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_chinamapmonster,Fire Main
3865,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_springfestival,Spring Pagoda
4002,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_Crown,Crown
4003,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_Shattered,Damaged
4234,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_80sTV,SDTV
4300,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_october,Ghostbusters
4560,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_scoopsahoy,Scoops Ahoy
4696,PlayerAvatarBorder,Product_TA ProductsDB.Products.AvatarBorder_WeirdCritter,Blabberwockey
4892,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_Carnival,Thermoplastic
4954,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_Cyberstreet,Fixer Frame
5270,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_s14rewardbronze,Season 14 - Bronze
5271,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_s14rewardchampion,Season 14 - Champion
5272,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_s14rewarddiamond,Season 14 - Diamond
5273,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_s14rewardgold,Season 14 - Gold
5274,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_s14rewardgrandchampion,Season 14 - Grand Champion
5275,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_s14rewardplatinum,Season 14 - Platinum
5276,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_s14rewardsilver,Season 14 - Silver
5288,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_5thanniversary,Frosted Cake
5289,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_ombre,Ombre
5290,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_sugar,Booyah
5549,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_chaintinted,Sidechain
5551,PlayerAvatarBorder,Product_TA ProductsDB.Products.avatarborder_speaker,WAVatar
4097,ESportsTeam,Product_TA ProductsDB.Products.ESportsTeam_Cloud9,Cloud9
4098,ESportsTeam,Product_TA ProductsDB.Products.ESportsTeam_Dignitas,Dignitas
4099,ESportsTeam,Product_TA ProductsDB.Products.ESportsTeam_EvilGeniuses,Evil Geniuses
4102,ESportsTeam,Product_TA ProductsDB.Products.ESportsTeam_G2,G2 Esports
4103,ESportsTeam,Product_TA ProductsDB.Products.ESportsTeam_GhostGaming,Ghost Gaming
4104,ESportsTeam,Product_TA ProductsDB.Products.ESportsTeam_Mousesports,Mousesports
4105,ESportsTeam,Product_TA ProductsDB.Products.ESportsTeam_NRG,NRG Esports
4106,ESportsTeam,Product_TA ProductsDB.Products.ESportsTeam_PSG,PSG Esports
4108,ESportsTeam,Product_TA ProductsDB.Products.EsportsTeam_RenaultVitality,Team Vitality
4110,ESportsTeam,Product_TA ProductsDB.Products.EsportsTeam_Splyce,Splyce
4114,ESportsTeam,Product_TA ProductsDB.Products.ESportsTeam_Rogue,Rogue
4115,ESportsTeam,Product_TA ProductsDB.Products.ESportsTeam_TSM,TSM
4500,ESportsTeam,Product_TA ProductsDB.Products.ESportsTeam_Complexity,Complexity
4502,ESportsTeam,Product_TA ProductsDB.Products.ESportsTeam_SpacestationGaming,Spacestation Gaming
4843,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_pittsburghknights,Pittsburgh Knights
4844,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_reciprocity,Reciprocity
4862,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_veloce,Veloce
4867,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_eunited,eUnited
4875,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_nrg_season8,NRG Esports
5511,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_alpine,Alpine Esports
5512,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_endpoint,Team Endpoint
5513,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_guild,Guild Esports
5514,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_oxygen,Oxygen Esports
5515,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_solary,Solary
5516,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_susquehannasoniqs,Susquehanna Soniqs
5517,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_teambds,Team BDS
5518,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_teamenvy,Team Envy
5519,ESportsTeam,Product_TA ProductsDB.Products.esportsteam_teamliquid,Team Liquid
4743,Currency,Product_TA ProductsDB.Products.Currency_Credits,Credits
5009,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_CarCar,Breakout Type-S
5434,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_Endo,Endo
5435,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_Flatbread,Mantis
5436,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_Mitty,Komodo
5437,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_MuscleCar,Dominus
5438,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_MuscleCar2,Dominus GT
5439,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_O2,Octane ZSR
5440,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_Pumpernickel,Centio
5441,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_Rhino2,Road Hog XL
5442,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_Sourdough,Jäger 619
5443,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_Takumi_II,Takumi RX-T
5444,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_Torch2,X-Devil Mk2
5445,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_Twinzer,Twinzer
5446,ShopItem,Product_TA ProductsDB.Products.ShopItem_Body_Wheatbread,Samurai
5538,MusicStingers,Product_TA ProductsDB.Products.Anthem_AdamBurgess_RocketLeagueOriginalTheme,Rocket League Throwback Anthem
5539,MusicStingers,Product_TA ProductsDB.Products.Anthem_HollywoodPrinciple_BreathingUnderwater,Breathing Underwater (Ether Remix)
5540,MusicStingers,Product_TA ProductsDB.Products.Anthem_HollywoodPrinciple_Firework,Firework
5541,MusicStingers,Product_TA ProductsDB.Products.Anthem_HollywoodPrinciple_KevinFreyRemix_SeeingWhatsNext,Seeing What's Next (Kevin Frey Remix)
5542,MusicStingers,Product_TA ProductsDB.Products.Anthem_HollywoodPrinciple_SolarEclipses,Solar Eclipses (feat. Dr. Awkward)
5684,MusicStingers,Product_TA ProductsDB.Products.Anthem_HollywoodPrinciple_SeeingWhatsNext,Seeing What's Next
5685,MusicStingers,Product_TA ProductsDB.Products.Anthem_HollywoodPrinciple_Whiplash,Whiplash
5686,MusicStingers,Product_TA ProductsDB.Products.Anthem_MikeAult_AngelWings,Angel Wings (feat. Avianna Acid)
5687,MusicStingers,Product_TA ProductsDB.Products.Anthem_MikeAult_FlyingForever,Flying Forever (feat. Morgan Perry)
5688,MusicStingers,Product_TA ProductsDB.Products.Anthem_MikeAult_ICanBe,I Can Be (feat. Crysta)
5689,MusicStingers,Product_TA ProductsDB.Products.Anthem_MikeAult_InMyDreams,In My Dreams (feat. Nikki Wilkins)
5690,MusicStingers,Product_TA ProductsDB.Products.Anthem_MikeAult_Lacuna,Lacuna
5691,MusicStingers,Product_TA ProductsDB.Products.Anthem_MikeAult_LoveThruTheNight,Love Thru The Night (feat. Morgan Perry)
5692,MusicStingers,Product_TA ProductsDB.Products.Anthem_MikeAultAbandonedCarnival_WeSpeakChinese,We Speak Chinese
5693,MusicStingers,Product_TA ProductsDB.Products.Anthem_MikeAultChristianDeLaTorre_Darkness,Darkness
5695,MusicStingers,Product_TA ProductsDB.Products.Anthem_DnB_Stadium,Brutal Darkness
5696,MusicStingers,Product_TA ProductsDB.Products.Anthem_House_Funky,Everybody Dance!
5697,MusicStingers,Product_TA ProductsDB.Products.Anthem_House_Tropical,Tropical Breeze
5698,MusicStingers,Product_TA ProductsDB.Products.Anthem_Trance_HandsUp,R.A.V.E.
5715,MusicStingers,Product_TA ProductsDB.Products.Album_Anthem_SolarEclipses,Solar Eclipses
5716,MusicStingers,Product_TA ProductsDB.Products.Album_Anthem_RL_OST_Vol1,Rocket League OST Vol. 1
5717,MusicStingers,Product_TA ProductsDB.Products.Album_Anthem_RL_OST_Vol2,Rocket League OST Vol. 2
5718,MusicStingers,Product_TA ProductsDB.Products.Album_Anthem_RP8,Season 2
5719,MusicStingers,Product_TA ProductsDB.Products.Anthem_OvertimeTheme,Overtime Theme
5720,MusicStingers,Product_TA ProductsDB.Products.Album_Anthem_Esports,Esports
5721,MusicStingers,Product_TA ProductsDB.Products.Anthem_KK_ID1,Flip Reset
5722,MusicStingers,Product_TA ProductsDB.Products.Anthem_KK_ID2,Solid Ground
5723,MusicStingers,Product_TA ProductsDB.Products.Anthem_KK_ID3,Closer
5724,MusicStingers,Product_TA ProductsDB.Products.Album_Anthem_KK,Kaskade X RL EP
5725,MusicStingers,Product_TA ProductsDB.Products.Anthem_SSARPBC_Theme,Supersonic Acrobatic Rocket-Powered Battle-Cars Theme
5873,MusicStingers,Product_TA ProductsDB.Products.Anthem_FransisDerelle_SameMistake,Same Mistake
5874,MusicStingers,Product_TA ProductsDB.Products.Anthem_Vindata_Good4Me,Good 4 Me
5875,MusicStingers,Product_TA ProductsDB.Products.Anthem_Vindata_Union,Union
5876,MusicStingers,Product_TA ProductsDB.Products.Album_Anthem_Monstercat,RL X Monstercat 2021
